autor_comentario,autor_endereco,comentario_corpo,comentario_data,comentario_titulo
Angelice_Beal,"Foz do Iguaçu, PR","Muito legal passar uma tarde de domingo lá, tomar um sorvete, fazer uma caminhadinha, pra quem gosta de esportes ao ar livre é perfeito. Ir com a família é tudo de bom.",Feita em 11 de outubro de 2014,Ótimo opção de passeio
161andreiac,"Campo Grande, MS","Tem área para pratica de exercícios físicos , programa familiar as crianças podem alimentar pombos , um lindo gramado, áreade fazer churrascos , tem inúmeras exposições ......10.",Feita em 11 de outubro de 2014,MARAVILHOSO
Rosani R,23 contribuições,"Excelente parque pra fazer caminhada, bike, aeromodelismo, só aos fins de semana é bem congestionado a dica é não ficar no centro do parque onde existe muita aglomeração.",Feita em 10 de outubro de 2014,Bonito parque
Fiani,"Curitiba, PR",Todos os dias ando pela manhã no Parque Barigui! Um local muito agradável! Muito verde... Vc convive com várias espécies de animais... A única exceção são os desagradáveis pombos - mas esses estão em todos lugares!,Feita em 10 de outubro de 2014,Tranquilidade!
ANDREA K,"Florianópolis, SC","Espaço grande, com muita natureza, gramados, lago e pista de caminhada/corrida. Local ideal para praticar atividade física ao ar livre ou passear com a família.",Feita em 8 de outubro de 2014,Muita natureza
H_Alonso,"São Paulo, SP","São onde ficam as famosas CAPIVARAS! Símbolo de Curitiba. Local agradável, estacionamento amplo, bom para uma boa caminhada, corrida, andar de bike, skate ou patins, muito frequentado pelos moradores da cidade (especialmente em raros dias de sol!). Tem estacionamento amplo e áreas para churrasco. Entrada é gratuita. As pistas de bike poderiam ser maior, não é possível andar duas pessoas uma ao lado da outra - é bem estreito. Vale uma visita! É um daqueles lugares que fazem você pensar: ""poxa, se bem que eu poderia mudar pra essa cidade"".",Feita em 7 de outubro de 2014,Bom para caminhar
Carlos_AF_Costa,"Santos, SP","Um lugar ótimo para uma caminhada, e ver as belezas do local.  Senti falta de bancos descanso de admiração do local.",Feita em 7 de outubro de 2014,Saudosas Caminhadas
PaulaUati,"São Paulo, SP",O Parque Barigui está situado na capital Paranaense em Curitiba. O parque recebe o nome de Barigui por causa do rio Barigui que foi represado para formar um grande lago em seu interior.,Feita em 7 de outubro de 2014,Parques e Bosques
Tiago S,45 contribuições,"Vou todas as semanas pelo menos no parque Barigui, sem duvidas o parque mais lindo e acomchegante da cidade de Curitiba.",Feita em 6 de outubro de 2014,Quintal de casa
LLBO,"Curitiba, PR","Ótimo lugar para passear, especialmente no sábado pela manhã, quando não está tão cheio. A pista ao redor do lago é ótima para a prática de esportes, com ar puro e ótima vista. Bom lugar para crianças",Feita em 6 de outubro de 2014,Ótimo
cesar_donato,"Patos de Minas, MG","Curitiba tem a vantagem de ter muitos parques, muitas áreas de lazer na cidade. Sem dúvidas o Parque Barigui é uma dessas opções.",Feita em 3 de outubro de 2014,Excente passeio
Jeam R,84 contribuições,"Lugar lindo, bem conservado, ótimo para caminhadas, um belíssimo parque em meio a uma grande cidade.",Feita em 3 de outubro de 2014,Perfeito
LiviaCajueiro,"Recife, PE","Um ótimo espaço para atividades ao ar livre. Procurei as capivaras, mas não achei. É um lugar especial para os locais, mas apenas em dias de sol e disposto a fazer um pic-nic ou coisa assim eu recomendaria uma parada lá se você for turista.",Feita em 3 de outubro de 2014,Grande área de lazer
Vinicius F,"Curitiba, PR","Excelente parque. O melhor de Curitiba. Tem pistas de caminhada, corrida e bicicleta separadas, com opções de 3.5 ou 5 km por volta. É, sem dúvidas, o melhor local pra correr em Curitiba. Também conta com quiosque com churrasqueiras pra quem quer ajuntar uma turma e passar o dia.",Feita em 3 de outubro de 2014,Melhor parque de Curitiba
MarceloTobias,"Araucária, PR","O maior parque da cidade, possui grande espaço para caminhadas, para piqueniques ou simplesmente para descansar aproveitando o belo visual. Em dias com tempo bom em Curitiba, o parque é bem cheio e torna-se bem complicado conseguir vaga no estacionamento do local.",Feita em 2 de outubro de 2014,O maior da cidade
adamfoerster,"São Francisco do Sul, SC",O parque é bonito mas talvez não seja muito seguro. Recomendo ficar apenas nas áreas bem iluminadas e movimentadas. Evite também chegar muito perto do lago conectado ao rio pois tem um forte cheiro ruim. Bom para fazer piqueniques.,Feita em 2 de outubro de 2014,Parque bonito mas com falhas
Ivan T,"Curitiba, Parana, Brazil","Maior parque da cidade! Já foi bom, mas tem muitos mau elementos circulando por lá. Nos finais de semana prepare-se para o som alto e incômodo!",Feita em 1 de outubro de 2014,Já foi bom!
Gabriela T,"Osasco, SP","Local muito grande, gostoso, em contato com a natureza. Tem um lago enorme. Tem bastante gente correndo, fazendo exercícios ou somente passeando com a família. Bom para fugir do caos do trânsito e admirar a paisagem.",Feita em 1 de outubro de 2014,:)
Marcelo S,"Curitiba, Parana, Brazil","Organização, paisagem exuberante em todo o parque, principalmente ao por do Sol, mas a visita é muito bom de segunda a sexta feira, de ruím aos sábados e principalmente aos domingos não da para visitar com família, muitos jovens com musicas em carro som alto e usando muito bebida alcoolicas, drogas e etc.",Feita em 1 de outubro de 2014,Melhor parque de Curitiba
Hugo M,"Curitiba, PR","O circuito de caminhada é comprida, são uns 4 km. Mas fizeram uma extensão depois da rua dos fundos, está parte não conheço. É Bem legal andar de bicicleta lá. Tem muita gente bonita cuidando da saúde. Na rua dos fundos, do outro lado da rua tem um museu de carros antigos.",Feita em 1 de outubro de 2014,É muito bonito
Flávia Battistuz,"Cuiabá, MT","O parque é lindo , ótimo lugar para ir passear com a família e amigos ou fazer atividades físicas. Vale a pena a visita.",Feita em 1 de outubro de 2014,Ótimo lugar
Josemary S,198 contribuições,A cidade respira natureza.,Feita em 30 de setembro de 2014,Ar puro e leveza
Karina Sonaglio,"Colônia, Alemanha",A melhor pedida para passear no final de semana em Curitiba. Conta com atrações para todas as idades e gostos. Local amplo e ótimo para a prática de esportes e passeio com animais de estimação.,Feita em 30 de setembro de 2014,Melhor escolha
Jorge R,"São José dos Campos, SP","Muito tranquilo o parque durante a semana e de uma beleza muito grande, muito bem cuidado, muito verde e muitas pessoas é preferível ir durante a semana, finais de semana da muita gente.",Feita em 29 de setembro de 2014,Muito sossego
Cridao,"Curitiba, PR","Bem localizado , seguro , amplo com bares , restaurantes , e muitas opções de passeio, lazer, prática de esportes . No local existe um local para eventos . ",Feita em 29 de setembro de 2014,Parque amplo
Heloisa M,"Curitiba, PR","No meu parecer é o melhor parque de Curitiba, cercado de muito verde pista de cooper , ciclovia , equipamento de ginastica ao ar livre, bistro , restaurantes, bastante cheio sempre que tem sol e aos finais de semana lotado de jovens, excelente passeio.",Feita em 29 de setembro de 2014,Melhor parque
De_merino,"Curitiba, PR","Durante a semana é até mais tranquilo, mas no sábado e domingo muito barulho e pessoas mau educadas. Impossível curtir a natureza tranquilamente.",Feita em 29 de setembro de 2014,Parque sujo e frequentadores mau educados
Márcio F,5 contribuições,"O parque é bom para passear a fazer atividades de corrida. É cheio nos finais de semana, mas tranquilo no meio da semana. Tem lugares para comer (restaurantes e bares).",Feita em 28 de setembro de 2014,Bom parque para passear
Margarete C,"Curitiba, PR","Para curtir qualquer dia da semana, muito bom ver o lago, o bosque, para quem quiser passar o dia com um churrasco, caminhar, passear com família cachorro, imperdível...",Feita em 28 de setembro de 2014,Parque modelo de Curitiba
Joaquinpresas,113 contribuições,"Lugar muito agradável para correr, andar ou estar com amigos. Tem um bar pra quem gosta de cerveja também.",Feita em 28 de setembro de 2014,Lugar gostoso para atividades ao ar livre
LucasCtba,"Curitiba, PR","Grande, bem estruturado, com vias bem sinalizadas para as diferentes práticas de seus frequentadores. Tem a vantagem de se poder andar à beira do lago em dias não muto quentes, ou do outro lado, do lado da olaria, onde a sombra protege do calor intenso e a vegetação é mais intensa.",Feita em 27 de setembro de 2014,O parque mais charmoso da cidade
Ricardo F,"Itaúna, MG",Vale muito a pena o passeio pra esporte ou em familia,Feita em 27 de setembro de 2014,"Parque muito bonito, otimo pra esporte e passeio"
Htf2013,"Curitiba, PR","Ambiente bastante familiar onde os curitibabanana passeiam com seus filhos e cachorros. Tem restaurantes na beira do lago, bar amarelo que e legal tambem",Feita em 27 de setembro de 2014,Legal
Zeno C,"Curitiba, PR","Um dos melhores parques da capital. Pista para caminhada, pedalinho, churrasqueiras, passeio de helicóptero, área para musculação, etc. etc.",Feita em 27 de setembro de 2014,Lugar Mágico
Sergio K,"Curitiba, PR","Este Parque é muito organizado e otimo para passear, caminhar, namorar, ir com a família, com as crianças no parquinho, fazer um churrasco nas várias churrasqueiras. Tem pistas para correr, caminhar, andar e pedalar.",Feita em 26 de setembro de 2014,"Excelente Parque para passeio, caminhada, turismo, relaxar, etc."
Egon F,"Curitiba, Parana, Brazil","O parque é bem amplo , espaço para práticas de atividades físicas , contato com natureza , estacionamento ,banheiros, bebedouros.",Feita em 26 de setembro de 2014,Melhor de parque de Curitiba
Denise A,"Curitiba, PR","O Parque Barigui é o parque mais agradável de Curitiba. Dá pra passar um dia inteiro nele sem se entediar. Tem parque de diversões, passeio de barquinho, muito verde e até jacaré! É simplesmente maravilhoso passear ou fazer uma caminhada, andar de bicicleta ou skate. Tudo o que é bom num parque. adoro!",Feita em 26 de setembro de 2014,Maravilhoso
Atilio N,"Curitiba, PR",Muito bom para praticar corrida e caminhada. ,Feita em 26 de setembro de 2014,Lindo
Raphaela Neves,"Fortaleza, CE","O parque é bom para fazer caminhadas, e tem a pista de aeromodelismo que é muito usada para quem quer aprender a andar de roller.",Feita em 26 de setembro de 2014,Andar de roller
Jamil A,"Curitiba, PR","O parque Barigui é muito frequentado por aqueles que apreciam a natureza e também praticam caminhada, andam de skates, patins e bicicletas.  Local bastante movimentado em praticamente todos os finais de semana. Há algumas churrasqueiras de frente para o lago proporcionando uma bela vista. Há também outros espaços para diversão. É comum as pessoas apreciarem a natureza nos gramados do parque.",Feita em 26 de setembro de 2014,Ponto obrigatório nos finais de semana..
PriscilaJansson,"Curitiba, PR","Um ótimo parque para praticar a caminhada, tem um lago no meio onde tem várias capivaras em parte do lago, outra parte você encontra patinhos, ao redor tem muitas casas de alto padrão, tem pista só pra patinação, tem muita grama que dá pra ir com família, amigos e fazer um lanche ou mesmo só sentar na grama e admirar o pôr do sol. Dá pra levar o cachorro pra passear. O dia mais cheio de pessoas é no sábado a tarde.",Feita em 26 de setembro de 2014,Parque para caminhar
Henriqueadp,"Curitiba, PR","Como Curitiba não tem praia, o Parque Barigui é a praia do curitibano. Local ideal para uma caminhada ou corrida, ou ainda para se exercitar ou simplesmente ficar largado na grama. Há um Centro de Exposições junto ao Parque e em dias de grande movimento é difícil estacionar o carro. Também em dias de muito calor, o parque fica lotado com uma diversidade enorme de pessoas.",Feita em 26 de setembro de 2014,Praia do Curitibano.
Rui K,"Curitiba, PR","o problema é quando chove no dia ou noite anterior, por causa da vazão da água que vai para a grama e fica em alguns pontos, formando muito barro.",Feita em 26 de setembro de 2014,Pistas para exercícios
Regina B,6 contribuições,"Excelente local para caminhar, correr, pedalar, namorar, brincar, espairecer. Bem arborizado e conservado.",Feita em 26 de setembro de 2014,Belo parque
grabow,"Curitiba, PR","Uma área muito grande com local para exposições, e local de passeio com os filhos, tem toda segurança, e comodidade um lago que apresenta um morador... um jacaré.",Feita em 26 de setembro de 2014,Um local para rememorar em Curitiba
Reinaldo S,"Curitiba, PR","Legal, mas evite sábados a tarde e domingo o dia inteiro. Enche muito. Agora, dias de semana, maravilhoso. Quanto mais cedo melhor. É um lugar mágico. ",Feita em 26 de setembro de 2014,òtimo lugar para esportes e lazer
Lilian L,"Curitiba, PR","O parque é um espaço de lazer e exercícios para toda a família. Com a divisão de pistas para corrida, caminhada e bicicleta fica mais tranquilo caminhar no parque sem acidentes... Minha dica pra praticar atividades como corrida, é ir no parque pela manhã.",Feita em 26 de setembro de 2014,Para curtir o final de semana com sol...
Elthon,"Curitiba, PR","O Parque Barigui é, sem dúvida, o mais badalado de Curitiba. É conhecido como a praia dos curitibanos. Ao visitá-lo em um domingo de sol você vai entender o motivo do título. É um parque bem grande e bem proprício ao passeio de bicicleta.",Feita em 25 de setembro de 2014,Movimentado
Wendell S,Belo Horizonte,"Ótimo lugar para praticar corridas e caminhada. Lugar seguro e limpo. Você não estará sozinho, muitas pessoas vão para este parque praticar corrida.",Feita em 25 de setembro de 2014,Corrida em curitiba
Calie,"Toronto, Canadá","Melhor lugar de Curitiba para uma corrida, uma voltinha e lá se vão os 5k, numa paisagem maravilhosa!",Feita em 24 de setembro de 2014,Meu preferido para correr na cidade
Glauciamello,"Belo Horizonte, MG","Um lugar perfeito para momentos relaxantes, um piquenique, um passeio com os filhos, andar de bicicleta, skate.. Ou deitar na grama e observar os cisnes no lago. Recomendo o restaurante Maggiori: pratos deliciosos e muito bem servidos!",Feita em 24 de setembro de 2014,Paz e tranquilidade
A_Lucinda,"Curitiba, PR","Eis um lugar para todo e qualquer momento, passeios em família, casais, para você que gosta de caminhas/corres e/ou andar de bicicleta ou, ainda, para que procura apenas um bom lugar para repousar e ""fugir"" momentaneamente dos seus problemas.",Feita em 24 de setembro de 2014,Para todos os gostos
ana17072014,"Rio de Janeiro, RJ","É um local lindo, seguro, agradável, com  boas opções para um lanche ou uma cervejinha gelada com os amigos, diversão livre para as crianças, cercado de verde e gente bonita passeando e curtindo a vida",Feita em 24 de setembro de 2014,dia agradável
Caroline C,"Curitiba, PR","O Parque Barigui é muito bom para quem quer fazer caminhada, exercícios, andar de bicicleta, levar os filhos pequenos para brincar ou até para quem quem só ficar esvaziando a mente num lugar bonito. A guarda municipal está sempre circulando por lá. Tem alguns lugares para comprar caldo de cana, suco, água, etc. O estacionamento é bem grande. Sem dúvida um dos parques mais bonitos e conservados da cidade.",Feita em 23 de setembro de 2014,Ótimo para ir com as crianças 
mailanmoraes,"Porto Alegre, RS","É o parque mais frequentado de Curitiba, com muitas lanchonetes, pista de corrida e o Museu do Automóvel.",Feita em 22 de setembro de 2014,Muito bom parque
Soraya C,"Curitiba, PR","Um dos belos parques de Curitiba. Você pode caminhar, andar de bicicleta ou apenas descansar sobre as árvores olhando um belíssimo cenário.  Aproveite para tomar um caldo de cana delicioso",Feita em 22 de setembro de 2014,Parque Barigui
Silvana S,"Curitiba, Parana, Brazil","O parque é dividido em pistas: uma para correr, uma para andar e uma para pedalar, o que torna o fluxo mais organizado. De qualquer forma, para prática de esportes, melhor ir pela manhã (durante o final de semana).",Feita em 21 de setembro de 2014,Para praticar esportes
EAIH,"Rio Azul, PR",Lugar muito legal e agradável para passar um domingo em família. Muitas pessoas frequentam para fazer caminhadas e corridas. Pássaros e árvores tornam o passeio agradável. Lugar para feiras e exposições.,Feita em 21 de setembro de 2014,Agradável
Lafa1515,"Curitiba,Brasil","Não é por morar aqui, mas é um parque sensacional, que destaca-se pela sua imensidão de verde,  com diversas opções para todas ás idades e gostos.",Feita em 21 de setembro de 2014,Maravilhoso
Cleber A,11 contribuições,"Local muito bom para passear com seu animal de estimação,com muito verde e locais para comer uma boa comida.",Feita em 20 de setembro de 2014,Passeio com os pet
sarianabs,"São José, SC","Local lindo, calmo, com pessoas bem educadas.",Feita em 20 de setembro de 2014,Local maravilhoso
Ygor y,"Campo Grande, MS","Outras cidades mereciam um belo parque como este, excelente para caminhas e corridas a ar livre, vale a pena conhecer.",Feita em 20 de setembro de 2014,excelente parque
Adriana G,"São Paulo, SP","Muito bonito e plano! ideal para famílias com crianças, possue patos andando no parque! uma graça! adorei",Feita em 19 de setembro de 2014,Família
Felipe Flip M,1.278 contribuições,"Extremamente espaçoso. O parque Barigui é um lugar enorme, com alguns bares/casas de lanches, em cima do lago. Pista para correr, caminhar ou andar de bicicleta. Lugar muito bonito e bem tranquilo.",Feita em 18 de setembro de 2014,Ótimo lugar.
LizBoaron,"Macaé, RJ","O melhor parque para passear com a família, correr, praticar atividades ao ar livre!! Muito bonito e bem cuidado.",Feita em 18 de setembro de 2014,Parque Barigui
Sandra R,"São Paulo, SP","Um parque lindo, super amplo, com lugares para caminhar, andar de bicicleta, tirar fotos. Gostei muito, muito bem cuidado.",Feita em 18 de setembro de 2014,Delicioso
ferdis153,"Londrina, PR","sempre que passo por Curitiba, fico encantado com esse parque...só fui uma vez....mas se morasse ali perto com certeza iria mais vezes...",Feita em 17 de setembro de 2014,lindo
Arlei F,"Florianópolis, SC","Parque muito bem cuidado,  lagos com agua limpa, muito verde, com espaço legal para  caminhar, pedalar, ou correr;",Feita em 17 de setembro de 2014,Liberdade!!!
anacarolinapiovesan,"Sinop, MT","Parque tradicional em Curitiba. Espaço grande, ideal para fazer atividades físicas, muito bem cuidado e com uma paisagem linda.",Feita em 17 de setembro de 2014,Tradicional
Angelo F,"Curitiba, PR","Parque Barigui faz jus à fama. Não deixem de conhecer as capivaras, que se tornaram uma atração a parte no Parque. ",Feita em 17 de setembro de 2014,Grande e bonito
Cláudio P,Mundo,"Ótimo passeio de final de semana, o Parque Barigui é um dos mais movimentados de Curitiba.",Feita em 17 de setembro de 2014,Corrida ou Feijoada.
Roos19,"Curitiba, PR","O Parque Barigui é um local com um espaço muito grande, onde é possível fazer caminhadas, andar de bicicleta, etc. ",Feita em 16 de setembro de 2014,Local Agradável
Alan S,"São Pedro do Turvo, SP","Ótimo local para quem mora na cidade, se distrair, e fazer uma boa caminhada, pedalar, etc. Muito verde e lagos bem cuidados, como tudo em Curitiba.",Feita em 16 de setembro de 2014,Lindo
Drielly_Fonseca,"Olinda, Pernambuco, Brazil","Um lugar bastante tranquilo e aprazível, com uma vista linda. Ideal para passear, se divertir com família e amigos. E o por do sol é lindo!",Feita em 16 de setembro de 2014,Por do sol maravilhoso
SilviaGrilli,"São Paulo, SP","O parque Barigui é típico de uma cidade grande, com muita gente circulando na área verde. Ideal para caminhar, fazer piquenique, pedalar. Tem gente de todo tipo, bares e um clima festivo aos fins de semana. é quase como o Ibirapuera (São Paulo). Muito bonito.",Feita em 15 de setembro de 2014,Parque típico de cidade grande
eduardo b,"Jaraguá do Sul, SC","O mais famoso parque de curitiba, junta verdadeiras multidos nos finais de semana e final de tarde.Junto a natureza, com bares e restaurante e um centro de eventos e feiras.",Feita em 15 de setembro de 2014,O mais famoso parque
Cristina C,"Curitiba, PR","É amplo e tem várias areas verdes, pista de corrida, lago e academia ao ar livre. Mas os parquinhos são simples e sem muita segurança.",Feita em 15 de setembro de 2014,Parque para todo mundo
kaprielzinho,"Curitiba, PR","Quer dizer dia de semana , muito bom para caminhar relaxar  e tem um bares e lanchonetes em torno do parque, mais dia de domingo muito cheio.",Feita em 14 de setembro de 2014,Ar livre
Viagens pelo mundo ... descobertas ✈️❤️,"São Paulo, SP","Tem um lago , pista pra correr, fazer exercicios fisicos, arvores, bem agradável...tem patinhos no lago, um restaurante , bem acessível",Feita em 14 de setembro de 2014,um parque  bonito
glauciane c,"Ouro Preto do Oeste, RO","Lugar perfeito para passeios de bicicleta, caminhadas, contato com a natureza. Ótimo para leituras e bom descanso dentro de uma metrópole",Feita em 13 de setembro de 2014,natureza
Flávio D,"Curitiba, PR","Um parque para toda a família, pistas, lagoas, muita gente se exercitando, jogando conversa fora, tranquilo e, dá uma boa dose de exercício para quem esta precisando perder uns quilinhos.",Feita em 13 de setembro de 2014,Parque para a familia
Melech-Tzedek L,"Foz do Iguaçu, PR","Estive lá à noite. Excelente para tudo: caminhar, conversar, namorar, etc. Vale a pena a visita, com certeza!",Feita em 13 de setembro de 2014,Lindo!
Mariane P,"Curitiba, PR","Muito bom, lugar excelente para praticar esportes.Possui um pequeno parque de diversões para crianças, e pedalinho.",Feita em 13 de setembro de 2014,Parque barigui
BriskiAngel,"Curitiba, PR","É o maior Parque próximo ao centro da cidade de Curitiba. Muitíssimo frequentado por todas as idades e famílias. Pistas para caminhadas e ciclistas. Churrasqueiras cobertas, lago com patos, gansos, capivaras e  milhares de árvores para passar o dia na sombra apreciando a natureza.",Feita em 13 de setembro de 2014,Passeio ao ar livre
Sonia N,15 contribuições,"Lugar maravilhoso para passar o dia com a familia e amigos, fzer um churrasco e passar horas maravilhosas",Feita em 13 de setembro de 2014,Passeio
simoneennes W,20 contribuições,"Lindo parque com natureza preservada, muito verde, lagos, pontes parque infantil, pista de corrida e bicicleta e um centro de exposições.",Feita em 13 de setembro de 2014,O Parque da família curitibana.
Alessandra S,"Curitiba, Parana, Brazil","Parque mais bonito de Curitiba, ótimo para fazer piqueniques e churrascos. Uma excelente opção para fazer caminhadas, andar de bicicleta e patins",Feita em 12 de setembro de 2014,lindo parque
Nblanza,"Sinop, MT","Pra mim o melhor parque de Curitiba para correr. Possui uma pista ampla, com um visual muito bonito. Aos finais de semana fica um pouco cheio. Possui restaurante, estacionamento, etc..",Feita em 12 de setembro de 2014,Lindo
Adriana S,"Nova Iguaçu, RJ","Muito verde, também há flores lindas. Local para pessoas que queiram fazer atividade física, correr, caminhar, pedalar, patinar...",Feita em 12 de setembro de 2014,Local lindo demais.
Phabbyo,"Curitiba, PR","Parque grande e bem localizado, ideal para caminhada, bicicleta, skate, patins. Muito bom para relaxar, ficar sem fazer nada. Logicamente, como não poderia deixar de ser, fica um pouco caótico nos finais de semana (em especial nos domingos). Conta ainda com lanchonete, local para exposições e feiras variadas. Em suma, muito bom.",Feita em 12 de setembro de 2014,Curitibaníssimo
RobertaFrota,"São Paulo, Brasil","O parque é lindo, muito limpo, bem frequentado e aparentemente seguro. Os bairros ao redor tambem são muito agradáveis",Feita em 11 de setembro de 2014,Lindo
Bruno S,"Curitiba, PR","A praia dos curitibanos. Lota nos finais de semana com sol e não é a toa. Possui restaurantes, barzinhos, pista de corrida, bike, academia as ao livre, bonito ambiente...",Feita em 11 de setembro de 2014,Tradicional
Pedro Kreling,"Londrina, PR","Além de parque tem bares, restaurantes, parque, passeio de helicóptero e muito mais. Não esqueça que o parque vai até a Manoel Ribas, neste caminho você poderá visualizar o riozinho que passa e se tiver sorte ver os macaquinhos. Ótimo para andar de bike, se puder vá em dia de semana, no final de semana é muito cheio.",Feita em 11 de setembro de 2014,É muito amplo
AndreLP7,"São Paulo, SP","Excelente parque em localização privilegiada em Curitiba, com belo lago, animais e centro de exposição....",Feita em 10 de setembro de 2014,Muito Bom
marcio m,"Itapema, SC","É muito belo este parque, para caminhar é fantástico. É muito rico em água e uma bela vegetação.  Ainda bem que não venderam o parque para a Xuxa.",Feita em 10 de setembro de 2014,Caminhada!
LuThome,"Gravataí, RS","Muito bem estruturado! Meu marido e eu sempre reservamos algumas horas para ir ao Parque. Vá de tênis. Use protetor solar. Aproveite o local! Eu gosto de deitar na grama (sempre limpa) e ler na sombra! Uma dica: da para ir de ônibus ou táxi, mas terá que caminhar um pouco até o ponto mais próximo!",Feita em 10 de setembro de 2014,Tipo: Tem que ir!
mipereirasp,"Nagoya, Japão","Lugar muito agradável, enorme.",Feita em 9 de setembro de 2014,PArque muito agradável
Edson S,Curitiba,"Lugar com muito verde e ar puro. Ótimo para quem gosta de correr. Possui trilhas asfaltadas de caminhada e corrida com distâncias de 3,3 e 5,0 km. Estacionamento fácil. Recomendo o período da manhã pois a tarde o movimento é intenso.",Feita em 9 de setembro de 2014,Excelente para praticar corrida ou caminhada
TaisB,"Durham, UK","O Parque Bariguí é uma excelente opção para quem deseja fazer umas caminhadas, ver as capivaras que ficam ao centro do lago e sentar para descansar. Com várias casas muito bonitas em seu entorno é uma opção de passeio rápido, mas muito agradável.",Feita em 8 de setembro de 2014,Lindo Parque
Thiago K,"Passo Fundo, Rio Grande do Sul, Brazil","òtimo lugar para quem gosta de se conectar com as maravilhas que Deus criou em meio a natureza, tem um lugarzinho que vc desce ao lado da entrada... uma trilha. muito lindo, gostei",Feita em 8 de setembro de 2014,Natureza Linda
Marcelotrem,"Rio de Janeiro, Brazil","Mais um belo parque de Curitiba..bem projetado, ambiente de alto astral para praticar esportes, passear com a familia e relaxar.",Feita em 8 de setembro de 2014,Mais um belo parque
JoseAntoniocwb,"Foz do Iguaçu, PR","Adoro o Parque Barigui. Fica próximo de casa e comporta todos os tipos de tribos e classes sociais. Ótimo para fazer exercício, apreciar a natureza ou simplesmente passear.",Feita em 8 de setembro de 2014,O parque mais democrático de Curitiba
Ligia,"Manaus, AM",Esse parque é realmente muito belo e agradável. Excelente para relaxar e fazer caminhadas. Ótimo para ir com a família.,Feita em 7 de setembro de 2014,Paisagem incrível
Ricardo R,51 contribuições,O Barigui está muito bem localizado e é o maior parque da cidade. Muito agradável para um passeio. Dependendo do dia você pode aproveitar e visitar o pavilhão de exposições anexo ao parque que sempre conta com boas feiras. ,Feita em 7 de setembro de 2014,Melhor parque de Curitiba
Alairce,"Curitiba, PR","Foi construído para conter as cheias do Rio Barigui e tornou-se o parque mais frequentado da cidade, além de ser o maior. Extende-se desde a Avenida Manoel Ribas até a BR 277.Bem cuidado, possui um centro de eventos, e ao lado, na Av. Cândido Hartmann, fica o Museu do Automóvel. Tem quiosques de alimentação, churrasqueiras, pistas para caminhadas/ corridas, academia ao ar livre, animais soltos (patos, marrecos, capivaras) etc. Como todos os parques da cidade, não cobra entrada, o que nem sempre acontece em cidades turísticas, onde quase tudo é pago. Frequento desde que meus filhos eram bebês...",Feita em 7 de setembro de 2014,Lindo parque com entrada franca
Yuli A,"Florença, Itália","Grande parque, acesso fácil, bons lugares para comida e bebida, estacionamento bom e grande, limpo, com outras atrações por perto.",Feita em 6 de setembro de 2014,Agradavel
Elaine P,"União da Vitória, PR","lugar ótimo para fazer uma caminhadinha, super agradável até mesmo para ficar sentado observando, descansando...",Feita em 5 de setembro de 2014,ótimo para caminhadas
Loana G,"Curitiba, PR","É um parque bem diversificado, bom para descansar, praticar esportes, fazer churrasco. Existem churrasqueiras com quiosques disponiveis, mas no final de semana tem que chegar bemmmm cedo para conseguir uma. ",Feita em 5 de setembro de 2014,Passeio nota 10!
Luiz Felipe,"Paracambi, RJ","Ótimo espaço de lazer para os habitantes da cidade. Excelente para a prática de esportes, caminhadas, para passear com as crianças e para ver as aves e outros bichinhos que moram por lá. Para o turista pode não impressionar, mas dá uma ideia da estrutura da cidade para o lazer de quem mora lá.",Feita em 4 de setembro de 2014,Espaço de lazer
Moni_Souza,"Jacareí, SP","É um parque bonito, grande, o pessoal de Curitiba utiliza bastante para fazer caminhadas, corrida..dá para ficar algumas horas descansando e apreciando o local.",Feita em 4 de setembro de 2014,Bonito
João P,9 contribuições,"Pena que com esse transito da cidade não posso ir todos os dias até o parque dar uma caminhada para desestressar! Lugar lindo, limpo e inspirador.... Vale a pena mesmo...",Feita em 3 de setembro de 2014,Perfeito para dar praticar esportes
Clau132014,"Estoril, Portugal","O lago do parque é fantástico. É ótimo para namorar, ouvir música, fazer caminhada, tem um excelente centro de convenções e reza a lenda que no lago mora um jacaré xodós dos habitantes da cidade.",Feita em 3 de setembro de 2014,Parque urbano charmoso
marcio_trip2014,"Curitiba, PR","O local é muito agradável, tanto para passear como para se exercitar. Vou lá com certa frequência e sempre curto bastante. O parque é frequentado principalmente por quem curte exercício.",Feita em 3 de setembro de 2014,diversão
Guillherme R,"São Paulo, SP","Parque muito agradavel, estive no fim de semana, estava cheio mas foi muito bom, muitas pessoas simpaticas! Gostei muito mesmo!",Feita em 2 de setembro de 2014,Pulmao verde de curitiba
Christina P,2 contribuições,Melhor parque de Curitiba. Trilhas dentro da mata e ao redor do lago para dias mais frios. Lanchonete com boas opções de comidas.,Feita em 2 de setembro de 2014,Barigui
GilsonDuarte,"Curitiba, PR","Excelente parque para se exercitar, o predileto dos Curitibanos. Bem iluminado e equipado com equipamentos de academia ao ar livre.",Feita em 2 de setembro de 2014,Corrida
545eliane,"Curitiba, PR","Muito bem localizado, pistas para caminhada, Lago muito bonito.",Feita em 2 de setembro de 2014,excelente
David E,Paraná,"Bom local para dar aquela corrida, com extensão de vias (sem repetições) com mais de 5 quilômetros, o local do programa típico de fim de semana do curitibano.",Feita em 2 de setembro de 2014,Aquela corrida
